*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_1
*Date=20:01:14
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
391;;;234.505;-94.5638;0;Bottom;Via1696
392;;;29.5046;-113.564;0;Bottom;Via516
393;;;280.503;-115.564;0;Bottom;Via1212
394;;;129.505;-8.56391;0;Bottom;Via1963
395;;;67.5047;-93.5639;0;Bottom;Via738
396;;;111.505;-32.5638;0;Bottom;Via2627
397;;;110.505;-155.564;0;Bottom;Via2228
398;;;169.505;-136.564;0;Bottom;Via2494
399;;;90.5047;-132.564;0;Bottom;Via895
400;;;45.5049;-12.5641;0;Bottom;Via578
401;;;2.50466;-157.564;0;Bottom;Via6
402;;;6.50468;-92.564;0;Bottom;Via70
403;;;65.5046;-93.5639;0;Bottom;Via778
404;;;68.5046;-69.5637;0;Bottom;Via866
405;;;88.5049;-111.564;0;Bottom;Via964
406;;;196.505;-113.564;0;Bottom;Via2356
407;;;175.505;-29.5638;0;Bottom;Via2109
408;;;172.505;-93.5639;0;Bottom;Via1916
409;;;6.50468;-33.5637;0;Bottom;Via211
410;;;169.505;-52.5638;0;Bottom;Via2386
411;;;90.5047;-117.564;0;Bottom;Via1007
412;;;276.504;-96.5639;0;Bottom;Via1266
413;;;150.505;-33.5637;0;Bottom;Via2670
414;;;173.505;-52.5638;0;Bottom;Via2475
415;;;257.505;-96.5642;0;Bottom;Via1621
416;;;279.504;-91.5638;0;Bottom;Via1419
417;;;131.505;-8.56391;0;Bottom;Via2533
418;;;196.505;-71.5638;0;Bottom;Via2079
419;;;153.504;-28.5636;0;Bottom;Via2129
420;;;48.5047;-158.564;0;Bottom;Via587
421;;;150.505;-132.564;0;Bottom;Via2710
422;1–5Watt;luxeon;109.695;-9.64382;-90;Top;U62
423;;THT;221.505;-74.0239;0;Bottom;GND
424;;;140.505;-103.564;0;Bottom;Hole57
425;;;214.505;-114.564;0;Bottom;Via1347
426;;;236.504;-157.564;0;Bottom;Via1688
427;;;65.5046;-72.5637;0;Bottom;Via830
428;;;28.5044;-135.564;0;Bottom;Via509
429;;;26.5046;-51.5639;0;Bottom;Via486
430;;;215.505;-71.5638;0;Bottom;Via1226
431;;;131.505;-71.5638;0;Bottom;Via1970
432;;;68.5046;-132.564;0;Bottom;Via727
433;;;46.5048;-74.5641;0;Bottom;Via683
434;;;112.505;-113.564;0;Bottom;Via2021
435;1–5Watt;luxeon;130.523;-93.4796;-90;Top;U54
436;;;69.5045;-70.5636;0;Bottom;Via737
437;;;174.504;-28.5636;0;Bottom;Via2221
438;;;133.505;-136.564;0;Bottom;Via2288
439;;;88.5049;-71.5638;0;Bottom;Via1027
440;;;236.504;-50.5639;0;Bottom;Via1794
441;;;47.5047;-132.564;0;Bottom;Via559
442;;;267.505;-124.564;0;Bottom;Hole3
