*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=LED ARRAY V1_0
*Date=17:29:52
*CreatedBy=Fritzing 0.9.6b.2021-02-21.CD-175-0-8a1e0682
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
313;;;77.2437;-149.37;0;Bottom;Via721
314;;;142.244;-23.3704;0;Bottom;Via2720
315;;;182.244;-20.3704;0;Bottom;Via2080
316;;;163.244;-41.3706;0;Bottom;Via2122
317;;;56.244;-128.371;0;Bottom;Via667
318;;;206.244;-165.37;0;Bottom;Via2397
319;;;202.244;-81.3702;0;Bottom;Via2583
320;;;119.244;-128.37;0;Bottom;Via2662
321;;;101.244;-124.37;0;Bottom;Via1046
322;;;38.2436;-124.37;0;Bottom;Via542
323;;;287.244;-81.3701;0;Bottom;Via1159
324;;;179.244;-126.37;0;Bottom;Via2371
325;;;287.244;-127.37;0;Bottom;Via1575
326;;;265.244;-44.3705;0;Bottom;Via1616
327;;;264.244;-20.3706;0;Bottom;Via1868
328;;;267.244;-164.371;0;Bottom;Via1288
329;;;288.244;-86.3703;0;Bottom;Via1494
330;1–5Watt;luxeon;99.4022;-62.4929;-90;Bottom;U57
331;;;228.244;-61.3704;0;Bottom;Via1110
332;1–5Watt;luxeon;141.452;-146.137;-90;Bottom;U45
333;;;119.244;-147.37;0;Bottom;Via2190
334;;;78.2436;-102.37;0;Bottom;Via753
335;;;77.2437;-86.3703;0;Bottom;Via831
336;;;267.244;-38.3705;0;Bottom;Via1657
337;;;288.244;-105.37;0;Bottom;Via1715
338;;;179.244;-166.371;0;Bottom;Via2293
339;;;267.244;-101.371;0;Bottom;Via1327
340;;;36.2438;-42.37;0;Bottom;Via416
341;;;13.2437;-40.3704;0;Bottom;Via194
342;;;164.244;-168.371;0;Bottom;Via1961
343;;;159.244;-85.3707;0;Bottom;Via2162
344;;;162.244;-149.371;0;Bottom;Via2217
345;;;60.2439;-147.371;0;Bottom;Via661
346;;;224.244;-101.37;0;Bottom;Via1795
347;;;99.2438;-19.3703;0;Bottom;Via919
348;;;202.244;-144.37;0;Bottom;Via2437
349;;;138.244;-82.3704;0;Bottom;Via2639
350;;;35.2436;-169.37;0;Bottom;Via466
351;;;161.244;-85.3707;0;Bottom;Via2034
352;;;99.2438;-61.3703;0;Bottom;Via1038
353;;;185.244;-61.3705;0;Bottom;Via2067
354;;;143.243;-102.37;0;Bottom;Via2517
355;;;180.244;-83.3703;0;Bottom;Via2621
356;;;201.244;-21.3703;0;Bottom;Via1925
357;;;101.244;-143.37;0;Bottom;Via895
358;;;266.244;-123.37;0;Bottom;Via1242
359;;;76.2435;-169.37;0;Bottom;Via802
360;;;78.2436;-18.3703;0;Bottom;Via884
361;;;56.244;-59.3706;0;Bottom;Via601
362;;;16.2437;-123.37;0;Bottom;Via47
363;;;284.244;-84.3701;0;Bottom;Via1600
364;;;14.2437;-167.37;0;Bottom;Via8
365;;;286.244;-42.3701;0;Bottom;Via1476
366;;;185.244;-42.3702;0;Bottom;Via2344
367;1–5Watt;luxeon;78.4563;-41.2699;-90;Bottom;U27
368;;;245.244;-103.37;0;Bottom;Via1080
369;;;77.2437;-42.3702;0;Bottom;Via752
370;;;59.2437;-62.3706;0;Bottom;Via563
371;;;285.244;-20.3703;0;Bottom;Via1149
372;;;247.244;-105.37;0;Bottom;Via1264
373;;;248.243;-125.37;0;Bottom;Via1356
374;;;163.244;-125.371;0;Bottom;Via2418
375;;;267.244;-143.371;0;Bottom;Via1544
376;;;162.244;-65.3707;0;Bottom;Via2118
377;;;140.244;-86.3703;0;Bottom;Via2125
378;1–5Watt;luxeon;287.921;-83.198;-90;Bottom;U65
379;;;246.244;-41.3702;0;Bottom;Via1732
380;;;121.244;-42.3702;0;Bottom;Via2563
381;;;119.244;-42.3702;0;Bottom;Via2652
382;;;16.2437;-43.3704;0;Bottom;Via200
383;220;2010 [SMD];35.2437;-5.5704;-90;Bottom;R13
384;;;40.2437;-61.3703;0;Bottom;Via474
385;;;142.244;-164.37;0;Bottom;Via2196
386;;;139.244;-104.37;0;Bottom;Via2271
387;;;121.244;-17.3704;0;Bottom;Via2502
388;;;35.2436;-22.3703;0;Bottom;Via389
389;;;36.2438;-23.3703;0;Bottom;Via410
390;;;121.244;-61.3705;0;Bottom;Via1917
391;;;245.244;-124.37;0;Bottom;Via1216
392;;;54.2439;-103.371;0;Bottom;Via612
393;;;55.2438;-125.371;0;Bottom;Via688
394;;;158.244;-19.3708;0;Bottom;Via2323
395;;;38.2436;-103.37;0;Bottom;Via501
396;;;142.244;-82.3704;0;Bottom;Via1970
397;;;97.2437;-61.3703;0;Bottom;Via955
398;;;158.244;-84.3705;0;Bottom;Via2046
399;;;99.2438;-105.37;0;Bottom;Via1032
400;;;76.2435;-148.371;0;Bottom;Via735
401;;;76.2435;-39.3701;0;Bottom;Via811
402;;;58.2438;-126.37;0;Bottom;Via561
403;;;59.2437;-144.371;0;Bottom;Via603
